City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,14,7,13,0.3,6,42,14,5
阿克苏地区,122,46,192,0.5,35,31,34,8
阿拉善盟,47,28,46,0.6,14,96,78,10
阿勒泰地区,47,7,46,0.8,11,49,37,14
阿里地区,34,8,16,0.45,5,90,66,3
安康,38,19,37,0.8,25,18,19,8
安庆,29,7,17,0.56,8,58,56,7
鞍山,70,41,88,1.69,28,83,52,22
安顺,28,1,4,0.48,5,59,54,7
安阳,95,64,137,4.34,58,27,9,63
白城,30,15,0,0.2,1,82,59,3
百色,24,11,14,1.0,6,43,46,5
白山,52,23,51,0.8,14,73,27,18
白银,32,9,27,0.7,12,64,63,10
保定,44,12,43,0.4,33,76,36,13
宝鸡,39,27,30,0.49,23,50,30,4
保山,45,20,44,0.75,34,11,12,8
包头,65,34,78,0.76,42,40,16,36
巴彦淖尔,52,24,51,0.67,22,58,41,14
巴中,20,11,19,0.95,19,29,14,4
北海,38,15,37,0.77,5,61,60,6
北京,24,8,23,0.37,24,59,29,2
蚌埠,46,26,45,0.7,21,62,56,7
本溪,71,37,89,2.95,66,44,18,66
毕节,31,1,6,0.8,10,66,61,5
滨州,39,17,29,0.57,14,121,52,10
博州,59,14,66,0.35,16,53,44,9
亳州,39,16,38,0.7,8,77,47,15
沧州,53,28,54,0.33,29,128,50,15
长春,25,9,24,0.42,16,63,31,4
常德,58,40,54,0.98,16,66,63,6
昌都,50,21,49,0.7,15,52,27,4
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,70,20,87,0.77,40,69,39,23
长沙,60,37,68,0.79,18,107,66,8
常熟,53,36,15,0.6,36,36,23,9
长治,99,74,99,1.7,14,38,12,6
常州,43,28,42,0.82,38,15,11,11
朝阳,43,13,42,0.9,15,81,36,19
潮州,26,16,25,0.75,5,53,40,7
承德,24,6,23,0.5,21,56,20,12
成都,50,29,49,0.66,27,84,40,9
郴州,22,10,21,1.66,16,28,25,10
赤峰,41,19,40,0.28,19,65,27,14
池州,19,10,13,0.6,25,32,37,7
重庆,49,29,48,0.84,35,12,12,6
崇左,25,10,7,0.65,5,44,49,4
楚雄州,46,32,41,1.0,15,64,38,26
滁州,34,10,17,0.53,12,81,67,5
大连,39,12,32,0.84,19,121,72,11
大理州,24,12,23,0.7,20,39,29,4
丹东,36,16,35,0.7,20,78,35,15
大庆,28,6,17,0.35,6,72,55,6
大同,59,24,66,0.78,31,54,22,20
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,25,7,11,0.2,5,74,48,4
达州,44,12,43,0.7,27,44,41,7
德宏州,44,26,43,0.55,10,73,26,22
德阳,26,7,25,0.48,9,78,37,6
德州,44,11,43,0.33,14,129,50,5
定西,30,8,27,0.3,12,55,58,3
迪庆州,19,12,18,0.5,6,48,26,8
东莞,26,16,25,0.37,8,52,48,5
东营,49,19,47,0.28,16,153,67,12
鄂尔多斯,52,14,51,0.76,36,55,37,15
恩施州,38,26,29,1.0,14,56,50,6
鄂州,39,14,25,0.73,8,111,77,5
防城港,38,16,37,0.73,7,56,59,5
佛山,26,9,21,0.44,9,45,50,4
抚顺,65,34,77,1.03,29,113,46,22
阜新,50,13,49,0.4,26,80,36,33
阜阳,65,46,76,0.83,15,43,40,7
富阳,23,7,12,0.6,12,59,45,5
福州,34,14,33,0.56,12,88,32,6
抚州,55,33,58,0.94,12,66,33,14
甘南州,0,0,0,0.0,0,0,0,0
赣州,26,11,25,0.78,10,38,29,4
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,30,13,29,0.4,10,61,45,9
广安,34,9,33,0.68,14,30,24,5
广元,15,9,10,0.63,12,45,19,11
广州,25,15,22,0.51,12,61,48,5
贵港,26,10,18,0.6,8,54,50,7
桂林,27,11,19,0.57,10,49,53,6
贵阳,19,6,14,0.54,12,37,37,3
果洛州,37,11,11,0.3,11,100,73,6
固原,30,6,25,0.67,16,51,59,7
哈尔滨,23,7,22,0.36,11,66,40,5
海北州,39,10,16,0.6,18,72,76,17
海东地区,56,32,59,0.8,24,69,32,5
海口,22,9,13,0.54,10,45,42,3
海门,19,12,18,0.57,18,33,34,17
海南州,35,5,16,0.9,21,64,69,9
海西州,52,15,26,0.6,17,99,101,1
哈密地区,39,10,38,1.15,31,45,24,6
邯郸,116,87,162,1.98,77,27,11,32
杭州,14,7,13,0.58,17,40,22,6
汉中,31,9,30,0.77,19,27,20,3
鹤壁,65,35,77,2.15,37,61,24,31
河池,33,6,7,0.8,10,49,65,4
合肥,26,13,24,0.6,18,47,51,2
鹤岗,31,9,30,0.35,4,50,44,8
黑河,19,5,18,0.3,4,45,36,5
衡水,45,24,44,0.53,14,124,38,7
衡阳,52,35,52,0.8,16,37,40,12
和田地区,113,40,174,0.3,9,70,51,5
河源,16,8,14,0.6,7,34,31,4
菏泽,114,85,113,1.03,17,88,32,13
贺州,29,4,14,0.7,5,58,57,6
红河州,30,13,29,0.63,10,64,53,26
淮安,41,15,40,0.42,6,91,74,5
淮北,39,25,38,0.77,15,109,46,10
怀化,37,10,28,1.1,7,63,73,3
淮南,52,32,51,0.73,15,57,56,15
黄冈,38,11,26,0.7,4,106,75,4
黄南州,39,24,38,1.1,13,64,63,12
黄山,21,8,20,0.47,10,47,30,7
黄石,38,21,37,1.03,23,100,59,13
呼和浩特,45,15,44,0.89,29,66,27,10
惠州,27,11,26,0.48,5,44,43,5
葫芦岛,57,19,62,0.65,21,82,30,50
呼伦贝尔,27,8,18,0.15,5,75,52,3
湖州,55,38,52,0.81,44,42,37,13
佳木斯,25,3,19,0.28,5,56,49,3
吉安,40,15,39,0.68,6,63,36,14
江门,42,8,41,0.37,6,47,56,4
江阴,23,16,20,1.0,39,17,16,12
胶南,47,10,18,1.15,10,120,93,9
胶州,50,15,27,0.35,10,146,99,4
焦作,65,46,78,0.97,27,81,60,13
嘉兴,15,5,14,0.53,24,21,20,3
嘉峪关,43,7,23,0.4,13,100,85,8
揭阳,29,12,28,1.0,6,49,37,6
吉林,27,4,17,0.4,9,73,52,6
即墨,51,15,50,0.45,7,133,82,6
济南,81,53,109,1.2,43,120,39,27
金昌,39,3,16,0.23,12,73,76,11
晋城,40,21,39,0.57,11,86,30,6
景德镇,39,20,38,0.53,3,68,37,12
荆门,74,53,76,0.86,23,44,41,8
荆州,58,40,61,1.17,21,52,45,12
金华,40,22,39,0.5,13,51,19,5
济宁,54,37,56,1.37,33,67,28,26
